"","Lacz.1","Lacz.2","Lacz.3","Yap.1","Yap.2","Yap.3"
"ENSMUSG00000051951_Xkr4",-0.402965397821335,1.50312314101159,0.439650256792302,0.236248695789045,1.369661473807,0.580712409339493
"ENSMUSG00000102343_Gm37381",-1.9073664268654,-2.92967570367507,-2.37842426107962,-2.46560933765676,-2.65964200455035,-2.56806382181369
"ENSMUSG00000025900_Rp1",3.76046590585099,3.31448443573218,3.31353851318421,2.94046813591462,3.24143044992443,3.32021227524032
"ENSMUSG00000033845_Mrpl15",3.60056987734567,3.68198676701932,3.87262232262691,3.51722809014822,3.39298168944199,3.1375315977178
"ENSMUSG00000104217_Gm37988",0.440004173748704,0.86256944267141,0.343312179188374,-0.0350097562763209,0.131609707588481,0.125891194553497
"ENSMUSG00000033813_Tcea1",3.73672776201522,3.86418237478072,3.83389382909438,3.65511505148318,3.51627896863812,3.11666324066988
"ENSMUSG00000002459_Rgs20",-2.1897715149878,-2.54039714184597,-1.49401606370436,-1.53497390756578,-1.33218101607227,-2.18980463779909
"ENSMUSG00000033793_Atp6v1h",6.60827052354598,6.71161036911714,6.63577592268077,6.38876048313071,6.33626686091097,6.21874699160477
"ENSMUSG00000025907_Rb1cc1",7.95981119897237,7.94519744544944,8.07175020714761,7.4338529748189,7.40144773870755,7.34642374234454
"ENSMUSG00000090031_4732440D04Rik",3.20288475089566,3.18505138042503,3.50859563433397,2.63524911153305,2.54520993319098,2.16694665752825
"ENSMUSG00000033740_St18",-1.99549889796564,-1.76685136058359,-0.55548137794499,0.933433453051779,1.50659449750724,0.385179502693348
"ENSMUSG00000051285_Pcmtd1",7.2380149768912,7.13630599788712,7.13948450930166,6.93895486067315,6.748955317743,6.53766857113111
"ENSMUSG00000097797_Gm26901",3.61179895754667,3.59487473775427,3.55234702208828,3.93292252964488,3.76861035334735,3.92430930567571
"ENSMUSG00000025909_Sntg1",-1.13242268517411,0.0647431780894604,-0.503361154136728,-0.654449684765339,0.131609707588481,0.175166420725043
"ENSMUSG00000061024_Rrs1",2.24405880187183,2.20889636676819,2.17719606236492,2.28173177023807,1.91786778398158,2.0747419302738
"ENSMUSG00000025911_Adhfe1",6.64266394022028,6.40958095050263,6.40276360874969,5.85893089240423,5.74762642073127,5.85259442129711
"ENSMUSG00000079671_2610203C22Rik",3.53915909801575,3.4168750098783,3.10271281277504,3.99246703148093,4.02949954421145,3.64274501758512
"ENSMUSG00000025912_Mybl1",-0.666755118192738,-1.13145663511338,-0.72419185066442,-0.62607548958258,0.225306611413841,-0.36728623809996
"ENSMUSG00000045210_Vcpip1",5.04158772658082,4.99089228541715,5.07185517014107,4.58982535211011,4.69721790494066,4.380677520892
"ENSMUSG00000097893_1700034P13Rik",-0.740994302195439,-1.06860351004319,-0.665735274174387,-0.743082557972911,-1.4005306683422,-1.12250016849627
